,Location,Year,Number,Population,Rate
108,Brunswick,2016.0,26.0,20600.0,126.2
109,Belgrade,2014.0,4.0,3183.0,125.7
110,Naples,2014.0,5.0,3980.0,125.6
111,Naples,2016.0,5.0,3980.0,125.6
2,North Berwick,2008.0,6.0,4778.0,125.6
3,Berwick,2010.0,9.0,7246.0,124.2
4,Rockland,2016.0,9.0,7283.0,123.6
5,Wells,2016.0,12.0,9714.0,123.5
6,Hancock,2014.0,3.0,2433.0,123.3
7,Cape Elizabeth,2012.0,11.0,8928.0,123.2
8,Jefferson,2013.0,3.0,2439.0,123.0
9,Hallowell,2008.0,3.0,2442.0,122.9
10,Brunswick,2011.0,25.0,20410.0,122.5
11,Lisbon,2016.0,11.0,8989.0,122.4
12,Arundel,2014.0,5.0,4100.0,122.0
13,Brunswick,2013.0,25.0,20500.0,122.0
14,Cumberland,2012.0,9.0,7376.0,122.0
15,Monmouth,2013.0,5.0,4097.0,122.0
16,Bucksport,2010.0,6.0,4924.0,121.9
17,Cape Elizabeth,2013.0,11.0,9041.0,121.7
18,Gardiner,2012.0,7.0,5754.0,121.7
19,Sabattus,2012.0,6.0,4938.0,121.5
20,Belfast,2012.0,8.0,6598.0,121.2
21,Buxton,2014.0,10.0,8253.0,121.2
22,Cape Elizabeth,2015.0,11.0,9088.0,121.0
23,Jefferson,2009.0,3.0,2479.0,121.0
24,Acton,2011.0,3.0,2482.0,120.9
25,Monmouth,2011.0,5.0,4143.0,120.7
26,Camden,2009.0,6.0,4985.0,120.4
27,Berwick,2014.0,9.0,7500.0,120.0
28,Berwick,2015.0,9.0,7500.0,120.0
29,Bath,2014.0,10.0,8344.0,119.8
30,Bath,2013.0,10.0,8356.0,119.7
31,York,2015.0,15.0,12607.0,119.0
32,Standish,2014.0,12.0,10104.0,118.8
33,York,2013.0,15.0,12633.0,118.7
34,Paris,2014.0,6.0,5067.0,118.4
35,Augusta,2014.0,22.0,18641.0,118.0
36,Sidney,2011.0,5.0,4238.0,118.0
37,Brewer,2016.0,11.0,9349.0,117.7
38,Winslow,2015.0,9.0,7661.0,117.5
39,Fryeburg,2013.0,4.0,3413.0,117.2
40,Winthrop,2012.0,7.0,6000.0,116.7
41,Manchester,2014.0,3.0,2574.0,116.6
42,Manchester,2016.0,3.0,2574.0,116.6
43,Kennebunkport,2014.0,4.0,3448.0,116.0
44,Kennebunkport,2016.0,4.0,3448.0,116.0
45,Clinton,2013.0,4.0,3450.0,115.9
46,Bath,2009.0,10.0,8634.0,115.8
47,Readfield,2012.0,3.0,2591.0,115.8
48,Bridgton,2013.0,6.0,5184.0,115.7
49,Litchfield,2008.0,4.0,3458.0,115.7
50,West Gardiner,2015.0,4.0,3459.0,115.6
51,Readfield,2010.0,3.0,2598.0,115.5
52,Searsport,2014.0,3.0,2599.0,115.4
53,Searsport,2015.0,3.0,2599.0,115.4
54,Bethel,2013.0,3.0,2609.0,115.0
55,Bridgton,2011.0,6.0,5217.0,115.0
56,Wells,2013.0,11.0,9574.0,114.9
57,China,2011.0,5.0,4356.0,114.8
58,Searsport,2010.0,3.0,2615.0,114.7
59,Waterboro,2013.0,9.0,7847.0,114.7
60,West Gardiner,2011.0,4.0,3488.0,114.7
61,Topsham,2014.0,10.0,8737.0,114.5
62,Freeport,2010.0,9.0,7879.0,114.2
63,Greene,2011.0,5.0,4379.0,114.2
64,Freeport,2011.0,9.0,7888.0,114.1
65,Shapleigh,2009.0,3.0,2630.0,114.1
66,Wells,2012.0,11.0,9643.0,114.1
67,Bridgton,2015.0,6.0,5263.0,114.0
68,Shapleigh,2008.0,3.0,2639.0,113.7
69,Lyman,2014.0,5.0,4408.0,113.4
70,Greene,2014.0,5.0,4432.0,112.8
71,China,2008.0,5.0,4438.0,112.7
72,Pittston,2011.0,3.0,2666.0,112.5
73,Gorham,2016.0,19.0,16954.0,112.1
74,Buxton,2010.0,9.0,8034.0,112.0
75,Shapleigh,2011.0,3.0,2684.0,111.8
76,Chelsea,2013.0,3.0,2686.0,111.7
77,Poland,2011.0,6.0,5381.0,111.5
78,Shapleigh,2014.0,3.0,2700.0,111.1
79,Oakland,2014.0,7.0,6305.0,111.0
80,Standish,2009.0,11.0,9927.0,110.8
81,Benton,2013.0,3.0,2711.0,110.7
82,Raymond,2009.0,5.0,4526.0,110.5
83,Chelsea,2010.0,3.0,2721.0,110.3
84,Rockland,2012.0,8.0,7255.0,110.3
85,Harrison,2012.0,3.0,2730.0,109.9
86,Raymond,2016.0,5.0,4548.0,109.9
87,Rockland,2009.0,8.0,7277.0,109.9
88,Limerick,2008.0,3.0,2738.0,109.6
89,Berwick,2009.0,8.0,7338.0,109.0
90,Bristol,2010.0,3.0,2755.0,108.9
91,Orrington,2016.0,4.0,3680.0,108.7
92,Harrison,2014.0,3.0,2766.0,108.5
93,South Berwick,2016.0,8.0,7374.0,108.5
94,Wiscasset,2012.0,4.0,3705.0,108.0
95,Bath,2016.0,9.0,8344.0,107.9
96,Westbrook,2013.0,19.0,17687.0,107.4
97,Limerick,2009.0,3.0,2798.0,107.2
98,Harpswell,2013.0,5.0,4668.0,107.1
99,Camden,2016.0,5.0,4679.0,106.9
100,Belfast,2013.0,7.0,6616.0,105.8
101,Winterport,2015.0,4.0,3784.0,105.7
102,Falmouth,2013.0,12.0,11365.0,105.6
103,Gardiner,2011.0,6.0,5726.0,104.8
104,Madison,2013.0,5.0,4777.0,104.7
105,Gardiner,2015.0,6.0,5743.0,104.5
106,Limington,2015.0,4.0,3838.0,104.2
107,Durham,2009.0,4.0,3865.0,103.5
108,Jay,2013.0,5.0,4840.0,103.3
109,Turner,2013.0,6.0,5810.0,103.3
110,York,2016.0,13.0,12607.0,103.1
111,Kennebunk,2012.0,11.0,10683.0,103.0
2,Naples,2011.0,4.0,3882.0,103.0
3,Wells,2015.0,10.0,9714.0,102.9
4,Sabattus,2009.0,5.0,4865.0,102.8
5,Farmingdale,2013.0,3.0,2924.0,102.6
6,Alfred,2009.0,3.0,2931.0,102.4
7,Naples,2012.0,4.0,3909.0,102.3
8,Ellsworth,2014.0,8.0,7840.0,102.0
9,Ellsworth,2016.0,8.0,7840.0,102.0
10,Gray,2011.0,8.0,7851.0,101.9
11,Gray,2012.0,8.0,7863.0,101.7
12,Sabattus,2013.0,5.0,4935.0,101.3
13,Waterboro,2012.0,8.0,7900.0,101.3
14,Waterboro,2014.0,8.0,7897.0,101.3
15,Windham,2008.0,17.0,16846.0,100.9
16,Bucksport,2009.0,5.0,4967.0,100.7
17,Gorham,2015.0,17.0,16954.0,100.3
18,Cape Elizabeth,2008.0,9.0,8984.0,100.2
19,Cape Elizabeth,2011.0,9.0,8980.0,100.2
20,Limerick,2014.0,3.0,2996.0,100.1
21,Lisbon,2013.0,9.0,9007.0,99.9
22,Bowdoin,2009.0,3.0,3006.0,99.8
23,Cape Elizabeth,2010.0,9.0,9015.0,99.8
24,Saint Albans,2015.0,2.0,2004.0,99.8
25,Alfred,2010.0,3.0,3019.0,99.4
26,Buckfield,2012.0,2.0,2012.0,99.4
27,Cape Elizabeth,2009.0,9.0,9069.0,99.2
28,Standish,2016.0,10.0,10104.0,99.0
29,Arundel,2013.0,4.0,4048.0,98.8
30,Buckfield,2011.0,2.0,2031.0,98.5
31,Winthrop,2010.0,6.0,6092.0,98.5
32,Alfred,2013.0,3.0,3049.0,98.4
33,Arundel,2012.0,4.0,4073.0,98.2
34,Albion,2013.0,2.0,2039.0,98.1
35,Holden,2012.0,3.0,3069.0,97.8
36,Holden,2014.0,3.0,3066.0,97.8
37,Oxford,2014.0,4.0,4091.0,97.8
38,Woolwich,2010.0,3.0,3072.0,97.7
39,Albion,2012.0,2.0,2050.0,97.6
40,Monmouth,2010.0,4.0,4104.0,97.5
41,Mount Desert,2010.0,2.0,2053.0,97.4
42,Monmouth,2016.0,4.0,4110.0,97.3
43,Oxford,2012.0,4.0,4116.0,97.2
44,Boothbay,2016.0,3.0,3094.0,97.0
45,Wilton,2009.0,4.0,4127.0,96.9
46,Oxford,2009.0,4.0,4155.0,96.3
47,Lebanon,2014.0,6.0,6240.0,96.2
48,Lebanon,2015.0,6.0,6240.0,96.2
49,Rockland,2014.0,7.0,7283.0,96.1
50,Boothbay Harbor,2015.0,2.0,2088.0,95.8
51,Augusta,2009.0,18.0,18877.0,95.4
52,Augusta,2012.0,18.0,18879.0,95.3
53,Kittery,2011.0,9.0,9475.0,95.0
54,Berwick,2011.0,7.0,7373.0,94.9
55,Oakland,2011.0,6.0,6325.0,94.9
56,Oakland,2013.0,6.0,6323.0,94.9
57,Yarmouth,2015.0,8.0,8434.0,94.9
58,Livermore Falls,2010.0,3.0,3187.0,94.1
59,Machias,2013.0,2.0,2142.0,93.4
60,Brunswick,2012.0,19.0,20541.0,92.5
61,Gray,2008.0,7.0,7573.0,92.4
62,Lincolnville,2010.0,2.0,2164.0,92.4
63,Lyman,2011.0,4.0,4336.0,92.3
64,Belgrade,2008.0,3.0,3272.0,91.7
65,Lincolnville,2013.0,2.0,2181.0,91.7
66,Lyman,2012.0,4.0,4373.0,91.5
67,Thomaston,2008.0,3.0,3293.0,91.1
68,Topsham,2010.0,8.0,8784.0,91.1
69,Winslow,2013.0,7.0,7690.0,91.0
70,Lyman,2013.0,4.0,4408.0,90.7
71,Lyman,2015.0,4.0,4408.0,90.7
72,Lyman,2016.0,4.0,4408.0,90.7
73,Phippsburg,2013.0,2.0,2205.0,90.7
74,Eddington,2015.0,2.0,2211.0,90.5
75,Eddington,2016.0,2.0,2211.0,90.5
76,Winslow,2012.0,7.0,7742.0,90.4
77,New Gloucester,2010.0,5.0,5542.0,90.2
78,Greene,2013.0,4.0,4439.0,90.1
79,Sanford,2014.0,19.0,21206.0,89.6
80,Ellsworth,2013.0,7.0,7847.0,89.2
81,Lisbon,2014.0,8.0,8989.0,89.0
82,Canaan,2014.0,2.0,2256.0,88.7
83,Canaan,2015.0,2.0,2256.0,88.7
84,Union,2010.0,2.0,2259.0,88.5
85,Richmond,2013.0,3.0,3395.0,88.4
86,Richmond,2015.0,3.0,3403.0,88.2
87,Cape Elizabeth,2016.0,8.0,9088.0,88.0
88,Fryeburg,2014.0,3.0,3410.0,88.0
89,Richmond,2010.0,3.0,3411.0,88.0
90,Westbrook,2009.0,15.0,17101.0,87.7
91,Turner,2009.0,5.0,5714.0,87.5
92,Brunswick,2015.0,18.0,20600.0,87.4
93,North Berwick,2010.0,4.0,4576.0,87.4
94,Kennebunkport,2013.0,3.0,3445.0,87.1
95,Yarmouth,2008.0,7.0,8038.0,87.1
96,Whitefield,2010.0,2.0,2300.0,87.0
97,Fryeburg,2011.0,3.0,3458.0,86.8
98,West Gardiner,2014.0,3.0,3459.0,86.7
99,Clinton,2014.0,3.0,3466.0,86.6
100,North Berwick,2009.0,4.0,4617.0,86.6
101,Hallowell,2015.0,2.0,2317.0,86.3
102,Clinton,2010.0,3.0,3486.0,86.1
103,Hollis,2008.0,4.0,4675.0,85.6
104,Buxton,2008.0,7.0,8188.0,85.5
105,Hallowell,2011.0,2.0,2353.0,85.0
106,Camden,2011.0,4.0,4731.0,84.5
107,Yarmouth,2011.0,7.0,8288.0,84.5
108,Litchfield,2009.0,3.0,3564.0,84.2
109,Hallowell,2010.0,2.0,2381.0,84.0
110,Harpswell,2014.0,4.0,4764.0,84.0
111,Warren,2008.0,4.0,4763.0,84.0
2,Saco,2008.0,15.0,17878.0,83.9
3,Skowhegan,2016.0,7.0,8390.0,83.4
4,Hallowell,2009.0,2.0,2414.0,82.9
5,Litchfield,2014.0,3.0,3637.0,82.5
6,Jefferson,2010.0,2.0,2427.0,82.4
7,Bath,2010.0,7.0,8514.0,82.2
8,Hancock,2015.0,2.0,2433.0,82.2
9,Rockland,2010.0,6.0,7297.0,82.2
10,Orrington,2013.0,3.0,3680.0,81.5
11,Casco,2008.0,3.0,3684.0,81.4
12,Norway,2016.0,4.0,4933.0,81.1
13,Standish,2010.0,8.0,9874.0,81.0
14,Sabattus,2014.0,4.0,4949.0,80.8
15,Sabattus,2016.0,4.0,4949.0,80.8
16,Topsham,2011.0,7.0,8702.0,80.4
17,Berwick,2016.0,6.0,7500.0,80.0
18,Biddeford,2008.0,17.0,21276.0,79.9
19,Winterport,2010.0,3.0,3757.0,79.9
20,Augusta,2011.0,15.0,18859.0,79.5
21,Winterport,2014.0,3.0,3784.0,79.3
22,Standish,2015.0,8.0,10104.0,79.2
23,Casco,2011.0,3.0,3791.0,79.1
24,Manchester,2008.0,2.0,2532.0,79.0
25,Acton,2016.0,2.0,2539.0,78.8
26,Jefferson,2008.0,2.0,2540.0,78.7
27,Dexter,2013.0,3.0,3833.0,78.3
28,Winslow,2014.0,6.0,7661.0,78.3
29,Winslow,2016.0,6.0,7661.0,78.3
30,Waterboro,2009.0,6.0,7668.0,78.2
31,Bath,2008.0,7.0,8967.0,78.1
32,Bar Harbor,2008.0,4.0,5126.0,78.0
33,Falmouth,2015.0,9.0,11536.0,78.0
34,Lisbon,2015.0,7.0,8989.0,77.9
35,Durham,2008.0,3.0,3856.0,77.8
36,Manchester,2015.0,2.0,2574.0,77.7
37,Ellsworth,2012.0,6.0,7752.0,77.4
38,Manchester,2012.0,2.0,2589.0,77.2
39,Winslow,2009.0,6.0,7809.0,76.8
40,Minot,2014.0,2.0,2626.0,76.2
41,Minot,2015.0,2.0,2626.0,76.2
42,Pittston,2013.0,2.0,2626.0,76.2
43,Belfast,2014.0,5.0,6566.0,76.1
44,Bridgton,2014.0,4.0,5263.0,76.0
45,Minot,2009.0,2.0,2632.0,76.0
46,Kennebunk,2013.0,8.0,10629.0,75.3
47,Pittston,2010.0,2.0,2666.0,75.0
48,Shapleigh,2010.0,2.0,2668.0,75.0
49,Auburn,2014.0,17.0,22757.0,74.7
50,Biddeford,2012.0,16.0,21407.0,74.7
51,Chelsea,2014.0,2.0,2677.0,74.7
52,Poland,2008.0,4.0,5353.0,74.7
53,Arundel,2010.0,3.0,4022.0,74.6
54,Mexico,2010.0,2.0,2681.0,74.6
55,Arundel,2011.0,3.0,4026.0,74.5
56,Pittston,2009.0,2.0,2688.0,74.4
57,Poland,2010.0,4.0,5376.0,74.4
58,Kennebunk,2011.0,8.0,10762.0,74.3
59,Scarborough,2008.0,14.0,18835.0,74.3
60,Blue Hill,2011.0,2.0,2694.0,74.2
61,Benton,2014.0,2.0,2704.0,74.0
62,Benton,2016.0,2.0,2704.0,74.0
63,Brunswick,2010.0,15.0,20278.0,74.0
64,Poland,2015.0,4.0,5418.0,73.8
65,Harrison,2010.0,2.0,2730.0,73.3
66,Oxford,2015.0,3.0,4091.0,73.3
67,Pittsfield,2015.0,3.0,4105.0,73.1
68,Wells,2010.0,7.0,9589.0,73.0
69,Benton,2011.0,2.0,2743.0,72.9
70,Oxford,2008.0,3.0,4113.0,72.9
71,Bristol,2008.0,2.0,2752.0,72.7
72,Oxford,2011.0,3.0,4132.0,72.6
73,Scarborough,2014.0,14.0,19295.0,72.6
74,Scarborough,2016.0,14.0,19295.0,72.6
75,Hampden,2008.0,5.0,6914.0,72.3
76,Sanford,2012.0,15.0,20914.0,71.7
77,Falmouth,2010.0,8.0,11185.0,71.5
78,New Gloucester,2009.0,4.0,5604.0,71.4
79,New Gloucester,2012.0,4.0,5609.0,71.3
80,Greene,2008.0,3.0,4227.0,71.0
81,Sidney,2012.0,3.0,4238.0,70.8
82,Carmel,2014.0,2.0,2830.0,70.7
83,Carmel,2015.0,2.0,2830.0,70.7
84,Windham,2010.0,12.0,17001.0,70.6
85,Hermon,2016.0,4.0,5678.0,70.4
86,Hollis,2010.0,3.0,4281.0,70.1
87,Corinth,2014.0,2.0,2869.0,69.7
88,Gardiner,2014.0,4.0,5743.0,69.7
89,Auburn,2011.0,16.0,22985.0,69.6
90,China,2010.0,3.0,4328.0,69.3
91,Rockland,2013.0,5.0,7225.0,69.2
92,Levant,2016.0,2.0,2945.0,67.9
93,Farmingdale,2014.0,2.0,2948.0,67.8
94,Farmingdale,2012.0,2.0,2956.0,67.7
95,Hampden,2015.0,5.0,7409.0,67.5
96,Farmingdale,2011.0,2.0,2976.0,67.2
97,Bowdoin,2008.0,2.0,2993.0,66.8
98,Farmington,2015.0,5.0,7519.0,66.5
99,Lisbon,2012.0,6.0,9016.0,66.5
100,Lebanon,2010.0,4.0,6031.0,66.3
101,Alfred,2012.0,2.0,3053.0,65.5
102,Augusta,2008.0,12.0,18400.0,65.2
103,Lebanon,2011.0,4.0,6131.0,65.2
104,Milford,2016.0,2.0,3067.0,65.2
105,Old Town,2014.0,5.0,7690.0,65.0
106,Sanford,2008.0,14.0,21559.0,64.9
107,Biddeford,2014.0,14.0,21626.0,64.7
108,Boothbay,2014.0,2.0,3094.0,64.6
109,Farmington,2010.0,5.0,7760.0,64.4
110,Kennebunk,2015.0,7.0,10876.0,64.4
111,Kennebunk,2016.0,7.0,10876.0,64.4
2,Winslow,2011.0,5.0,7792.0,64.2
3,Brunswick,2008.0,14.0,21928.0,63.8
4,Oakland,2016.0,4.0,6305.0,63.4
5,Harpswell,2010.0,3.0,4740.0,63.3
6,Lewiston,2014.0,23.0,36308.0,63.3
7,Harpswell,2015.0,3.0,4764.0,63.0
8,Livermore Falls,2011.0,2.0,3178.0,62.9
9,Livermore Falls,2012.0,2.0,3178.0,62.9
10,Belgrade,2012.0,2.0,3193.0,62.6
11,Livermore Falls,2009.0,2.0,3254.0,61.5
12,Paris,2008.0,3.0,4918.0,61.0
13,Biddeford,2011.0,13.0,21402.0,60.7
14,Fairfield,2015.0,4.0,6599.0,60.6
15,Fairfield,2016.0,4.0,6599.0,60.6
16,Norridgewock,2015.0,2.0,3333.0,60.0
17,Norway,2010.0,3.0,5014.0,59.8
18,Skowhegan,2014.0,5.0,8390.0,59.6
19,Skowhegan,2015.0,5.0,8390.0,59.6
20,Norridgewock,2012.0,2.0,3360.0,59.5
21,Bath,2012.0,5.0,8415.0,59.4
22,Fryeburg,2009.0,2.0,3374.0,59.3
23,Fairfield,2009.0,4.0,6787.0,58.9
24,Fryeburg,2015.0,2.0,3410.0,58.7
25,Fryeburg,2016.0,2.0,3410.0,58.7
26,Paris,2012.0,3.0,5110.0,58.7
27,Orono,2016.0,6.0,10272.0,58.4
28,Richmond,2008.0,2.0,3440.0,58.1
29,Bridgton,2012.0,3.0,5189.0,57.8
30,West Gardiner,2016.0,2.0,3459.0,57.8
31,Clinton,2015.0,2.0,3466.0,57.7
32,Sanford,2011.0,12.0,20787.0,57.7
33,West Gardiner,2010.0,2.0,3474.0,57.6
34,Old Orchard Beach,2014.0,5.0,8697.0,57.5
35,Westbrook,2011.0,10.0,17468.0,57.2
36,Auburn,2016.0,13.0,22757.0,57.1
37,Bridgton,2016.0,3.0,5263.0,57.0
38,Clinton,2011.0,2.0,3520.0,56.8
39,Sanford,2015.0,12.0,21206.0,56.6
40,Auburn,2009.0,13.0,23017.0,56.5
41,Biddeford,2010.0,12.0,21277.0,56.4
42,Lisbon,2011.0,5.0,8983.0,55.7
43,Poland,2009.0,3.0,5386.0,55.7
44,Biddeford,2013.0,12.0,21645.0,55.4
45,Litchfield,2015.0,2.0,3637.0,55.0
46,Litchfield,2012.0,2.0,3666.0,54.6
47,Saco,2009.0,10.0,18343.0,54.5
48,Hampden,2014.0,4.0,7409.0,54.0
49,Wiscasset,2014.0,2.0,3713.0,53.9
50,Wiscasset,2011.0,2.0,3720.0,53.8
51,Wiscasset,2010.0,2.0,3732.0,53.6
52,Brewer,2015.0,5.0,9349.0,53.5
53,Saco,2011.0,10.0,18695.0,53.5
54,Rumford,2014.0,3.0,5641.0,53.2
55,Saco,2014.0,10.0,18950.0,52.8
56,Scarborough,2012.0,10.0,18947.0,52.8
57,Scarborough,2013.0,10.0,18938.0,52.8
58,Sanford,2013.0,11.0,20944.0,52.5
59,Dexter,2016.0,2.0,3831.0,52.2
60,Old Town,2015.0,4.0,7690.0,52.0
61,Naples,2010.0,2.0,3872.0,51.7
62,Farmington,2009.0,4.0,7754.0,51.6
63,Winslow,2008.0,4.0,7775.0,51.4
64,Waterville,2014.0,8.0,15628.0,51.2
65,Waterville,2016.0,8.0,15628.0,51.2
66,Waterboro,2015.0,4.0,7897.0,50.7
67,South Portland,2013.0,13.0,25712.0,50.6
68,Westbrook,2014.0,9.0,17849.0,50.4
69,Saint Albans,2012.0,1.0,2002.0,50.0
70,Saint Albans,2014.0,1.0,2004.0,49.9
71,Buckfield,2010.0,1.0,2009.0,49.8
72,Dayton,2016.0,1.0,2017.0,49.6
73,Saint Albans,2011.0,1.0,2021.0,49.5
74,Buckfield,2013.0,1.0,2024.0,49.4
75,Arundel,2015.0,2.0,4100.0,48.8
76,Orono,2014.0,5.0,10272.0,48.7
77,Albion,2014.0,1.0,2057.0,48.6
78,Albion,2011.0,1.0,2061.0,48.5
79,Buxton,2015.0,4.0,8253.0,48.5
80,Unity,2009.0,1.0,2063.0,48.5
81,Livermore,2014.0,1.0,2070.0,48.3
82,Livermore,2015.0,1.0,2070.0,48.3
83,Livermore,2016.0,1.0,2070.0,48.3
84,Auburn,2013.0,11.0,22851.0,48.1
85,Boothbay Harbor,2013.0,1.0,2078.0,48.1
86,Saco,2013.0,9.0,18699.0,48.1
87,Yarmouth,2010.0,4.0,8349.0,47.9
88,Livermore,2011.0,1.0,2094.0,47.8
89,Auburn,2010.0,11.0,23055.0,47.7
90,Livermore,2010.0,1.0,2095.0,47.7
91,Livermore,2012.0,1.0,2099.0,47.6
92,Scarborough,2009.0,9.0,18923.0,47.6
93,Saco,2015.0,9.0,18950.0,47.5
94,Bath,2011.0,4.0,8444.0,47.4
95,Canaan,2008.0,1.0,2115.0,47.3
96,Dayton,2008.0,1.0,2116.0,47.3
97,Unity,2011.0,1.0,2115.0,47.3
98,Unity,2012.0,1.0,2114.0,47.3
99,Albion,2008.0,1.0,2121.0,47.1
100,Sidney,2014.0,2.0,4253.0,47.0
101,Unity,2014.0,1.0,2128.0,47.0
102,South Portland,2015.0,12.0,25571.0,46.9
103,Greene,2009.0,2.0,4313.0,46.4
104,Damariscotta,2015.0,1.0,2158.0,46.3
105,Mount Desert,2008.0,1.0,2159.0,46.3
106,Orland,2009.0,1.0,2159.0,46.3
107,Corinna,2014.0,1.0,2167.0,46.1
108,Livermore,2008.0,1.0,2174.0,46.0
109,China,2009.0,2.0,4388.0,45.6
110,Lyman,2008.0,2.0,4387.0,45.6
111,Machias,2009.0,1.0,2195.0,45.6
2,Corinna,2010.0,1.0,2198.0,45.5
3,Greene,2012.0,2.0,4393.0,45.5
4,Fairfield,2011.0,3.0,6646.0,45.1
5,Greene,2015.0,2.0,4432.0,45.1
6,Portland,2013.0,30.0,66658.0,45.0
7,Belfast,2009.0,3.0,6686.0,44.9
8,Eddington,2012.0,1.0,2233.0,44.8
9,Leeds,2009.0,1.0,2231.0,44.8
10,Westbrook,2016.0,8.0,17849.0,44.8
11,Canaan,2011.0,1.0,2244.0,44.6
12,Portland,2015.0,30.0,67219.0,44.6
13,Portland,2016.0,30.0,67219.0,44.6
14,Eddington,2011.0,1.0,2245.0,44.5
15,Fairfield,2010.0,3.0,6735.0,44.5
16,Waterville,2010.0,7.0,15722.0,44.5
17,Limestone,2014.0,1.0,2254.0,44.4
18,Millinocket,2010.0,2.0,4506.0,44.4
19,Eddington,2013.0,1.0,2267.0,44.1
20,Canaan,2010.0,1.0,2275.0,44.0
21,Auburn,2015.0,10.0,22757.0,43.9
22,Madison,2008.0,2.0,4556.0,43.9
23,Topsham,2009.0,4.0,9165.0,43.6
24,Sanford,2010.0,9.0,20798.0,43.3
25,South Portland,2012.0,11.0,25431.0,43.3
26,Hallowell,2014.0,1.0,2317.0,43.2
27,Portland,2014.0,29.0,67219.0,43.1
28,Glenburn,2015.0,2.0,4646.0,43.0
29,Leeds,2010.0,1.0,2326.0,43.0
30,Glenburn,2012.0,2.0,4667.0,42.9
31,Leeds,2015.0,1.0,2337.0,42.8
32,Saco,2012.0,8.0,18680.0,42.8
33,Leeds,2013.0,1.0,2341.0,42.7
34,Old Orchard Beach,2008.0,4.0,9406.0,42.5
35,Sanford,2016.0,9.0,21206.0,42.4
36,Biddeford,2009.0,9.0,21266.0,42.3
37,Acton,2008.0,1.0,2375.0,42.1
38,Acton,2009.0,1.0,2392.0,41.8
39,Sabattus,2008.0,2.0,4808.0,41.6
40,Scarborough,2015.0,8.0,19295.0,41.5
41,Jay,2011.0,2.0,4833.0,41.4
42,Sabattus,2011.0,2.0,4831.0,41.4
43,Lewiston,2013.0,15.0,36327.0,41.3
44,South Portland,2008.0,10.0,24344.0,41.1
45,Acton,2010.0,1.0,2447.0,40.9
46,Bucksport,2008.0,2.0,4909.0,40.7
47,Dixfield,2015.0,1.0,2463.0,40.6
48,Dixfield,2016.0,1.0,2463.0,40.6
49,Norway,2015.0,2.0,4933.0,40.5
50,Sabattus,2015.0,2.0,4949.0,40.4
51,Anson,2013.0,1.0,2489.0,40.2
52,South Portland,2009.0,10.0,24904.0,40.2
53,Farmington,2008.0,3.0,7489.0,40.1
54,Norway,2012.0,2.0,4982.0,40.1
55,Dixfield,2011.0,1.0,2503.0,40.0
56,Bangor,2016.0,13.0,32594.0,39.9
57,Anson,2010.0,1.0,2511.0,39.8
58,Waterboro,2008.0,3.0,7579.0,39.6
59,Auburn,2008.0,9.0,22765.0,39.5
60,Paris,2015.0,2.0,5067.0,39.5
61,Acton,2014.0,1.0,2539.0,39.4
62,Paris,2013.0,2.0,5070.0,39.4
63,Auburn,2012.0,9.0,22886.0,39.3
64,Waldoboro,2008.0,2.0,5092.0,39.3
65,Dixfield,2010.0,1.0,2550.0,39.2
66,Westbrook,2015.0,7.0,17849.0,39.2
67,Waterboro,2010.0,3.0,7693.0,39.0
68,Manchester,2010.0,1.0,2580.0,38.8
69,Harpswell,2008.0,2.0,5167.0,38.7
70,Lincoln,2011.0,2.0,5183.0,38.6
71,Paris,2010.0,2.0,5183.0,38.6
72,Waterville,2011.0,6.0,15583.0,38.5
73,Searsport,2013.0,1.0,2602.0,38.4
74,Sanford,2009.0,8.0,20915.0,38.3
75,Bethel,2012.0,1.0,2621.0,38.2
76,Mexico,2016.0,1.0,2620.0,38.2
77,Minot,2011.0,1.0,2619.0,38.2
78,Waterville,2012.0,6.0,15705.0,38.2
79,Bethel,2015.0,1.0,2635.0,38.0
80,Bethel,2016.0,1.0,2635.0,38.0
81,Saco,2010.0,7.0,18482.0,37.9
82,Minot,2008.0,1.0,2643.0,37.8
83,Harrison,2009.0,1.0,2651.0,37.7
84,Searsport,2009.0,1.0,2660.0,37.6
85,Blue Hill,2010.0,1.0,2686.0,37.2
86,Shapleigh,2013.0,1.0,2686.0,37.2
87,Searsport,2008.0,1.0,2699.0,37.1
88,Benton,2015.0,1.0,2704.0,37.0
89,Saco,2016.0,7.0,18950.0,36.9
90,Benton,2009.0,1.0,2719.0,36.8
91,Scarborough,2011.0,7.0,19009.0,36.8
92,Westbrook,2008.0,6.0,16283.0,36.8
93,Benton,2012.0,1.0,2726.0,36.7
94,Harrison,2015.0,1.0,2766.0,36.2
95,Bath,2015.0,3.0,8344.0,36.0
96,South Portland,2011.0,9.0,25037.0,35.9
97,Carmel,2012.0,1.0,2826.0,35.4
98,Hermon,2014.0,2.0,5678.0,35.2
99,South Portland,2016.0,9.0,25571.0,35.2
100,Corinth,2016.0,1.0,2869.0,34.9
101,Portland,2012.0,23.0,66684.0,34.5
102,Westbrook,2010.0,6.0,17494.0,34.3
103,Westbrook,2012.0,6.0,17554.0,34.2
104,Levant,2015.0,1.0,2945.0,34.0
105,Bangor,2013.0,11.0,32426.0,33.9
106,Corinth,2013.0,1.0,2962.0,33.8
107,Calais,2015.0,1.0,2980.0,33.6
108,Gardiner,2009.0,2.0,5944.0,33.6
